,name,group,multiplier,group_section3
0,Italien,A,1,2
1,Schweiz,A,2,3
2,Türkei,A,4,4
3,Wales,A,3,4
4,Belgien,B,1,1
5,Dänemark,B,3,3
6,Finnland,B,8,6
7,Russland,B,5,4
8,Niederlande,C,2,2
9,Nordmazedonien,C,9,6
10,Österreich,C,4,5
11,Ukraine,C,4,5
12,England,D,1,1
13,Kroatien,D,2,3
14,Schottland,D,6,6
15,Tschechien,D,5,5
16,Polen,E,2,3
17,Schweden,E,3,4
18,Slowakei,E,5,5
19,Spanien,E,1,2
20,Deutschland,F,1,1
21,Frankreich,F,1,1
22,Portugal,F,1,2
23,Ungarn,F,4,6
